ride_id,started_at,ended_at,start_station,end_station,user_type
R001,2025-04-01 07:40,2025-04-01 07:58,西湖东门,湖滨公园,会员
R002,2025-04-01 08:10,2025-04-01 08:26,西湖东门,龙翔桥,会员
R003,2025-04-01 08:35,2025-04-01 08:52,凤起路,西湖东门,临时用户
R004,2025-04-01 09:15,2025-04-01 09:41,湖滨公园,凤起路,会员
R005,2025-04-01 12:05,2025-04-01 12:23,西湖东门,吴山广场,临时用户
R006,2025-04-01 12:20,2025-04-01 12:37,西湖东门,湖滨公园,会员
R007,2025-04-01 17:10,2025-04-01 17:31,龙翔桥,西湖东门,会员
R008,2025-04-01 17:25,2025-04-01 17:55,西湖东门,凤起路,会员
R009,2025-04-01 18:00,2025-04-01 18:18,湖滨公园,西湖东门,临时用户
R010,2025-04-02 08:00,2025-04-02 08:19,西湖东门,凤起路,会员
R011,2025-04-02 08:20,2025-04-02 08:39,西湖东门,湖滨公园,会员
R012,2025-04-02 18:10,2025-04-02 18:28,西湖东门,龙翔桥,临时用户
